Feature,Importance
NumView,4931.987499995432
NumCart,3208.895833339957
interactionTime,3058.1341666722374
NumOfEventsInJourney,412.4824999997342
maxPrice,8.459270610383651e-14
InsessionView,1.0944153569503179e-14
weekday,9.287709490379825e-15
timeOfDay,0.0
